 frequency       nfr             nfminr          rnr            
 1.00000000e+08  7.52137326e+00  0.00000000e+00  2.32557678e+02 
 1.12201845e+08  7.52136556e+00  1.06076021e-14  2.32557137e+02 
 1.25892541e+08  7.52135578e+00  0.00000000e+00  2.32556457e+02 
 1.41253754e+08  7.52134350e+00  2.89298240e-15  2.32555600e+02 
 1.58489319e+08  7.52132807e+00  9.64327467e-16  2.32554522e+02 
 1.77827941e+08  7.52130867e+00  0.00000000e+00  2.32553165e+02 
 1.99526231e+08  7.52128416e+00  0.00000000e+00  2.32551456e+02 
 2.23872114e+08  7.52125336e+00  7.71461973e-15  2.32549304e+02 
 2.51188643e+08  7.52121458e+00  0.00000000e+00  2.32546596e+02 
 2.81838293e+08  7.52116572e+00  0.00000000e+00  2.32543186e+02 
 3.16227766e+08  7.52110434e+00  2.89298240e-15  2.32538894e+02 
 3.54813389e+08  7.52102664e+00  0.00000000e+00  2.32533490e+02 
 3.98107171e+08  7.52092961e+00  0.00000000e+00  2.32526688e+02 
 4.46683592e+08  7.52080702e+00  0.00000000e+00  2.32518125e+02 
 5.01187234e+08  7.52065272e+00  0.00000000e+00  2.32507346e+02 
 5.62341325e+08  7.52045835e+00  0.00000000e+00  2.32493777e+02 
 6.30957344e+08  7.52021413e+00  0.00000000e+00  2.32476698e+02 
 7.07945784e+08  7.51990504e+00  9.64327467e-15  2.32455199e+02 
 7.94328235e+08  7.51951694e+00  5.78596480e-15  2.32428139e+02 
 8.91250938e+08  7.51902909e+00  1.25362571e-14  2.32394082e+02 
 1.00000000e+09  7.51841522e+00  4.82163733e-15  2.32351221e+02 
 1.12201845e+09  7.51764207e+00  0.00000000e+00  2.32297285e+02 
 1.25892541e+09  7.51667092e+00  0.00000000e+00  2.32229419e+02 
 1.41253754e+09  7.51544600e+00  3.85730987e-15  2.32144037e+02 
 1.58489319e+09  7.51390438e+00  8.67894720e-15  2.32036636e+02 
 1.77827941e+09  7.51196744e+00  5.78596480e-15  2.31901568e+02 
 1.99526231e+09  7.50954232e+00  2.02508768e-14  2.31731751e+02 
 2.23872114e+09  7.50646616e+00  2.02508768e-14  2.31518318e+02 
 2.51188643e+09  7.50260600e+00  0.00000000e+00  2.31250179e+02 
 2.81838293e+09  7.49777320e+00  4.82163733e-15  2.30913494e+02 
 3.16227766e+09  7.49168324e+00  0.00000000e+00  2.30491024e+02 
 3.54813389e+09  7.48404637e+00  0.00000000e+00  2.29961360e+02 
 3.98107171e+09  7.47442318e+00  0.00000000e+00  2.29298003e+02 
 4.46683592e+09  7.46239662e+00  2.41081867e-14  2.28468308e+02 
 5.01187234e+09  7.44736279e+00  0.00000000e+00  2.27432283e+02 
 5.62341325e+09  7.42845266e+00  0.00000000e+00  2.26141290e+02 
 6.30957344e+09  7.40503085e+00  0.00000000e+00  2.24536717e+02 
 7.07945784e+09  7.37557849e+00  3.85730987e-15  2.22548770e+02 
 7.94328235e+09  7.33913621e+00  0.00000000e+00  2.20095595e+02 
 8.91250938e+09  7.29393199e+00  1.15719296e-14  2.17083078e+02 
 1.00000000e+10  7.23801802e+00  4.82163733e-15  2.13405818e+02 
 1.12201845e+10  7.16934999e+00  1.06076021e-14  2.08949866e+02 
 1.25892541e+10  7.08540019e+00  1.92865493e-15  2.03597970e+02 
 1.41253754e+10  6.98364723e+00  9.64327467e-16  1.97237985e+02 
 1.58489319e+10  6.86117225e+00 -4.82163733e-16  1.89774849e+02 
 1.77827941e+10  6.71429258e+00 -4.82163733e-16  1.81145874e+02 
 1.99526231e+10  6.54232859e+00  0.00000000e+00  1.71338013e+02 
