 frequency       nfr             nfminr          rnr            
 1.00000000e+08  6.54419262e+00  9.64327467e-16  1.75625950e+02 
 1.12201845e+08  6.54418870e+00  0.00000000e+00  1.75625716e+02 
 1.25892541e+08  6.54418372e+00  0.00000000e+00  1.75625421e+02 
 1.41253754e+08  6.54417745e+00  9.64327467e-15  1.75625050e+02 
 1.58489319e+08  6.54416962e+00  0.00000000e+00  1.75624583e+02 
 1.77827941e+08  6.54415972e+00  0.00000000e+00  1.75623995e+02 
 1.99526231e+08  6.54414717e+00  0.00000000e+00  1.75623254e+02 
 2.23872114e+08  6.54413156e+00  8.67894720e-15  1.75622322e+02 
 2.51188643e+08  6.54411174e+00  2.89298240e-15  1.75621149e+02 
 2.81838293e+08  6.54408693e+00  0.00000000e+00  1.75619672e+02 
 3.16227766e+08  6.54405558e+00  1.25362571e-14  1.75617812e+02 
 3.54813389e+08  6.54401639e+00  0.00000000e+00  1.75615471e+02 
 3.98107171e+08  6.54396649e+00  3.85730987e-15  1.75612524e+02 
 4.46683592e+08  6.54390438e+00  0.00000000e+00  1.75608813e+02 
 5.01187234e+08  6.54382554e+00  0.00000000e+00  1.75604143e+02 
 5.62341325e+08  6.54372684e+00  0.00000000e+00  1.75598263e+02 
 6.30957344e+08  6.54360299e+00  0.00000000e+00  1.75590862e+02 
 7.07945784e+08  6.54344447e+00  8.67894720e-15  1.75581545e+02 
 7.94328235e+08  6.54324784e+00  1.15719296e-14  1.75569817e+02 
 8.91250938e+08  6.54299853e+00  1.92865493e-14  1.75555055e+02 
 1.00000000e+09  6.54268732e+00  0.00000000e+00  1.75536474e+02 
 1.12201845e+09  6.54229198e+00  5.78596480e-15  1.75513087e+02 
 1.25892541e+09  6.54179598e+00  0.00000000e+00  1.75483654e+02 
 1.41253754e+09  6.54117239e+00  4.82163733e-15  1.75446614e+02 
 1.58489319e+09  6.54039106e+00  0.00000000e+00  1.75400005e+02 
 1.77827941e+09  6.53940062e+00  6.75029227e-15  1.75341364e+02 
 1.99526231e+09  6.53816481e+00  1.83222219e-14  1.75267595e+02 
 2.23872114e+09  6.53659556e+00  1.92865493e-15  1.75174813e+02 
 2.51188643e+09  6.53462796e+00  1.15719296e-14  1.75058147e+02 
 2.81838293e+09  6.53215609e+00  0.00000000e+00  1.74911494e+02 
 3.16227766e+09  6.52902912e+00  0.00000000e+00  1.74727217e+02 
 3.54813389e+09  6.52510732e+00  4.82163733e-15  1.74495779e+02 
 3.98107171e+09  6.52022183e+00  1.25362571e-14  1.74205285e+02 
 4.46683592e+09  6.51402998e+00  7.71461973e-15  1.73840947e+02 
 5.01187234e+09  6.50628529e+00  7.71461973e-15  1.73384435e+02 
 5.62341325e+09  6.49652718e+00  0.00000000e+00  1.72813118e+02 
 6.30957344e+09  6.48455426e+00  0.00000000e+00  1.72099204e+02 
 7.07945784e+09  6.46916933e+00  6.75029227e-15  1.71208783e+02 
 7.94328235e+09  6.45011677e+00  1.06076021e-14  1.70100826e+02 
 8.91250938e+09  6.42650492e+00  0.00000000e+00  1.68726216e+02 
 1.00000000e+10  6.39703716e+00  2.12152043e-14  1.67026957e+02 
 1.12201845e+10  6.36031400e+00  8.67894720e-15  1.64935775e+02 
 1.25892541e+10  6.31541814e+00  5.78596480e-15  1.62376433e+02 
 1.41253754e+10  6.25977421e+00  1.06076021e-14  1.59265187e+02 
 1.58489319e+10  6.19173580e+00  0.00000000e+00  1.55513898e+02 
 1.77827941e+10  6.10893447e+00  8.67894720e-15  1.51035340e+02 
 1.99526231e+10  6.00956544e+00  7.71461973e-15  1.45751119e+02 
