 frequency       nfr             nfminr          rnr            
 1.00000000e+08  2.56557751e+01  1.69721634e-12  1.83385437e+04 
 1.12201845e+08  2.56213103e+01  7.16495308e-13  1.81931910e+04 
 1.25892541e+08  2.55783090e+01  0.00000000e+00  1.80134468e+04 
 1.41253754e+08  2.55247754e+01  0.00000000e+00  1.77921503e+04 
 1.58489319e+08  2.54583107e+01  0.00000000e+00  1.75211681e+04 
 1.77827941e+08  2.53760655e+01  0.00000000e+00  1.71915379e+04 
 1.99526231e+08  2.52747039e+01  0.00000000e+00  1.67937857e+04 
 2.23872114e+08  2.51503909e+01  0.00000000e+00  1.63184751e+04 
 2.51188643e+08  2.49988152e+01  0.00000000e+00  1.57570351e+04 
 2.81838293e+08  2.48152645e+01  0.00000000e+00  1.51028760e+04 
 3.16227766e+08  2.45947669e+01  0.00000000e+00  1.43527339e+04 
 3.54813389e+08  2.43323048e+01  0.00000000e+00  1.35080823e+04 
 3.98107171e+08  2.40231014e+01  0.00000000e+00  1.25763372e+04 
 4.46683592e+08  2.36629587e+01  3.29799994e-13  1.15715055e+04 
 5.01187234e+08  2.32486057e+01  0.00000000e+00  1.05139459e+04 
 5.62341325e+08  2.27780086e+01  0.00000000e+00  9.42906147e+03 
 6.30957344e+08  2.22505883e+01  2.49760814e-13  8.34502173e+03 
 7.07945784e+08  2.16672934e+01  0.00000000e+00  7.28990904e+03 
 7.94328235e+08  2.10305381e+01  1.17647951e-13  6.28888397e+03 
 8.91250938e+08  2.03439809e+01  0.00000000e+00  5.36195581e+03 
 1.00000000e+09  1.96122371e+01  3.95374261e-14  4.52273925e+03 
 1.12201845e+09  1.88405467e+01  0.00000000e+00  3.77827424e+03 
 1.25892541e+09  1.80344598e+01  1.90936838e-13  3.12971762e+03 
 1.41253754e+09  1.71995683e+01  2.60368416e-14  2.57356966e+03 
 1.58489319e+09  1.63413514e+01  0.00000000e+00  2.10308806e+03 
 1.77827941e+09  1.54650289e+01  3.37514613e-14  1.70962233e+03 
 1.99526231e+09  1.45756091e+01  9.64327467e-14  1.38371381e+03 
 2.23872114e+09  1.36777747e+01  1.65864324e-13  1.11590604e+03 
 2.51188643e+09  1.27761214e+01  0.00000000e+00  8.97278790e+02 
 2.81838293e+09  1.18751214e+01  0.00000000e+00  7.19753428e+02 
 3.16227766e+09  1.09792300e+01  0.00000000e+00  5.76228393e+02 
 3.54813389e+09  1.00930860e+01  8.67894720e-15  4.60599285e+02 
 3.98107171e+09  9.22148631e+00  9.64327467e-15  3.67707892e+02 
 4.46683592e+09  8.36943656e+00  0.00000000e+00  2.93252803e+02 
 5.01187234e+09  7.54227399e+00  4.82163733e-15  2.33683832e+02 
 5.62341325e+09  6.74555501e+00  0.00000000e+00  1.86094338e+02 
 6.30957344e+09  5.98487974e+00  0.00000000e+00  1.48119588e+02 
 7.07945784e+09  5.26556562e+00  1.92865493e-15  1.17845295e+02 
 7.94328235e+09  4.59288575e+00  0.00000000e+00  9.37279000e+01 
 8.91250938e+09  3.97119952e+00  2.89298240e-15  7.45266413e+01 
 1.00000000e+10  3.40392763e+00  1.92865493e-15  5.92466079e+01 
 1.12201845e+10  2.89270720e+00  9.64327467e-16  4.70915787e+01 
 1.25892541e+10  2.43858709e+00  0.00000000e+00  3.74253267e+01 
 1.41253754e+10  2.04017531e+00  1.92865493e-15  2.97400915e+01 
 1.58489319e+10  1.69502219e+00  0.00000000e+00  2.36310331e+01 
 1.77827941e+10  1.39973519e+00  9.64327467e-16  1.87756194e+01 
 1.99526231e+10 -nan -nan  1.49170488e+01 
