 frequency       s11r            s11i            s12r            s12i            s21r            s21i            s22r            s22i           
 1.00000000e+08  9.99983677e-01 -5.42153709e-03  4.02222996e-06  1.00828131e-03 -9.91391656e-01  5.84712404e-03  9.58817755e-01 -3.00393997e-03 
 1.12201845e+08  9.99979324e-01 -6.10369014e-03  5.07720493e-06  1.13130625e-03 -9.91386185e-01  6.57241930e-03  9.58815981e-01 -3.37368416e-03 
 1.25892541e+08  9.99974106e-01 -6.82919456e-03  6.37207836e-06  1.26934113e-03 -9.91379568e-01  7.35894510e-03  9.58813815e-01 -3.77373541e-03 
 1.41253754e+08  9.99967338e-01 -7.67049756e-03  8.03138469e-06  1.42421634e-03 -9.91371004e-01  8.26341005e-03  9.58811012e-01 -4.23930536e-03 
 1.58489319e+08  9.99958898e-01 -8.60479397e-03  1.01030329e-05  1.59798612e-03 -9.91360357e-01  9.26678860e-03  9.58807548e-01 -4.74854142e-03 
 1.77827941e+08  9.99948234e-01 -9.65708515e-03  1.27187690e-05  1.79295445e-03 -9.91346893e-01  1.03973704e-02  9.58803160e-01 -5.32545409e-03 
 1.99526231e+08  9.99935028e-01 -1.08167518e-02  1.60008743e-05  2.01170629e-03 -9.91330046e-01  1.16605273e-02  9.58797587e-01 -5.98275742e-03 
 2.23872114e+08  9.99917954e-01 -1.21567695e-02  2.01771486e-05  2.25714029e-03 -9.91308465e-01  1.30978678e-02  9.58790533e-01 -6.72188482e-03 
 2.51188643e+08  9.99896846e-01 -1.36310900e-02  2.53635228e-05  2.53250995e-03 -9.91281856e-01  1.46810928e-02  9.58781890e-01 -7.52157563e-03 
 2.81838293e+08  9.99870203e-01 -1.52892149e-02  3.19421165e-05  2.84146122e-03 -9.91247992e-01  1.64762951e-02  9.58770738e-01 -8.45223834e-03 
 3.16227766e+08  9.99836547e-01 -1.71570207e-02  4.02315513e-05  3.18808462e-03 -9.91205291e-01  1.84923917e-02  9.58756713e-01 -9.49302190e-03 
 3.54813389e+08  9.99794031e-01 -1.92606206e-02  5.06569784e-05  3.57696660e-03 -9.91151590e-01  2.07509169e-02  9.58739196e-01 -1.06461871e-02 
 3.98107171e+08  9.99741371e-01 -2.15787210e-02  6.37389501e-05  4.01324987e-03 -9.91084392e-01  2.32740897e-02  9.58716949e-01 -1.19600017e-02 
 4.46683592e+08  9.99673326e-01 -2.42571516e-02  8.02804103e-05  4.50269382e-03 -9.90999069e-01  2.61218218e-02  9.58689418e-01 -1.33915586e-02 
 5.01187234e+08  9.99589074e-01 -2.72037224e-02  1.01058215e-04  5.05175932e-03 -9.90892146e-01  2.93067832e-02  9.58654294e-01 -1.50354940e-02 
 5.62341325e+08  9.99482858e-01 -3.05172461e-02  1.27147429e-04  5.66768005e-03 -9.90758010e-01  3.28683171e-02  9.58610570e-01 -1.68496085e-02 
 6.30957344e+08  9.99346885e-01 -3.42968479e-02  1.60470100e-04  6.35853528e-03 -9.90585402e-01  3.69400182e-02  9.58553731e-01 -1.89750177e-02 
 7.07945784e+08  9.99180897e-01 -3.84038781e-02  2.01364007e-04  7.13344122e-03 -9.90376336e-01  4.13545000e-02  9.58485972e-01 -2.11875126e-02 
 7.94328235e+08  9.98971059e-01 -4.30335125e-02  2.53431104e-04  8.00248048e-03 -9.90108763e-01  4.63891282e-02  9.58397455e-01 -2.38120160e-02 
