 frequency       nfr             nfminr          rnr            
 1.00000000e+08  6.15160120e+00  0.00000000e+00  1.56124638e+02 
 1.12201845e+08  6.15159843e+00  1.15719296e-14  1.56124479e+02 
 1.25892541e+08  6.15159490e+00  0.00000000e+00  1.56124278e+02 
 1.41253754e+08  6.15159048e+00  3.85730987e-15  1.56124026e+02 
 1.58489319e+08  6.15158494e+00  2.89298240e-15  1.56123709e+02 
 1.77827941e+08  6.15157798e+00  3.85730987e-15  1.56123309e+02 
 1.99526231e+08  6.15156907e+00  0.00000000e+00  1.56122806e+02 
 2.23872114e+08  6.15155803e+00  1.92865493e-15  1.56122173e+02 
 2.51188643e+08  6.15154412e+00  0.00000000e+00  1.56121376e+02 
 2.81838293e+08  6.15152656e+00  1.92865493e-15  1.56120373e+02 
 3.16227766e+08  6.15150434e+00  1.44649120e-14  1.56119109e+02 
 3.54813389e+08  6.15147640e+00  0.00000000e+00  1.56117519e+02 
 3.98107171e+08  6.15144142e+00  0.00000000e+00  1.56115517e+02 
 4.46683592e+08  6.15139750e+00  9.64327467e-16  1.56112996e+02 
 5.01187234e+08  6.15134154e+00  9.64327467e-16  1.56109823e+02 
 5.62341325e+08  6.15127163e+00  0.00000000e+00  1.56105829e+02 
 6.30957344e+08  6.15118480e+00  3.85730987e-15  1.56100801e+02 
 7.07945784e+08  6.15107287e+00  0.00000000e+00  1.56094471e+02 
 7.94328235e+08  6.15093379e+00  5.78596480e-15  1.56086503e+02 
 8.91250938e+08  6.15075688e+00  1.92865493e-15  1.56076473e+02 
 1.00000000e+09  6.15053669e+00  4.82163733e-15  1.56063848e+02 
 1.12201845e+09  6.15025876e+00  0.00000000e+00  1.56047957e+02 
 1.25892541e+09  6.14990716e+00  0.00000000e+00  1.56027956e+02 
 1.41253754e+09  6.14946876e+00  9.64327467e-16  1.56002783e+02 
 1.58489319e+09  6.14890802e+00  0.00000000e+00  1.55971104e+02 
 1.77827941e+09  6.14821328e+00  0.00000000e+00  1.55931241e+02 
 1.99526231e+09  6.14734911e+00  9.64327467e-15  1.55881086e+02 
 2.23872114e+09  6.14622403e+00  8.67894720e-15  1.55817989e+02 
 2.51188643e+09  6.14484024e+00  0.00000000e+00  1.55738628e+02 
 2.81838293e+09  6.14307287e+00  0.00000000e+00  1.55638833e+02 
 3.16227766e+09  6.14087935e+00  0.00000000e+00  1.55513380e+02 
 3.54813389e+09  6.13812892e+00  0.00000000e+00  1.55355732e+02 
 3.98107171e+09  6.13463045e+00  0.00000000e+00  1.55157719e+02 
 4.46683592e+09  6.13026871e+00  0.00000000e+00  1.54909151e+02 
 5.01187234e+09  6.12476395e+00  0.00000000e+00  1.54597353e+02 
 5.62341325e+09  6.11786461e+00  6.75029227e-15  1.54206603e+02 
 6.30957344e+09  6.10939410e+00  0.00000000e+00  1.53717478e+02 
 7.07945784e+09  6.09837852e+00  0.00000000e+00  1.53106100e+02 
 7.94328235e+09  6.08491763e+00 -4.82163733e-16  1.52343302e+02 
 8.91250938e+09  6.06787613e+00  4.82163733e-15  1.51393735e+02 
 1.00000000e+10  6.04692648e+00  1.92865493e-15  1.50215003e+02 
 1.12201845e+10  6.02068197e+00  3.85730987e-15  1.48756913e+02 
 1.25892541e+10  5.98784056e+00  0.00000000e+00  1.46961049e+02 
 1.41253754e+10  5.94795008e+00  3.85730987e-15  1.44760923e+02 
 1.58489319e+10  5.89827113e+00  0.00000000e+00  1.42083064e+02 
 1.77827941e+10  5.83804201e+00  0.00000000e+00  1.38849506e+02 
 1.99526231e+10 -nan -nan  1.34982146e+02 
