 frequency       nfr             nfminr          rnr            
 1.00000000e+08  5.93573847e+00  0.00000000e+00  1.46129820e+02 
 1.12201845e+08  5.93573630e+00  0.00000000e+00  1.46129694e+02 
 1.25892541e+08  5.93573347e+00  0.00000000e+00  1.46129535e+02 
 1.41253754e+08  5.93572995e+00  6.75029227e-15  1.46129336e+02 
 1.58489319e+08  5.93572554e+00  1.06076021e-14  1.46129085e+02 
 1.77827941e+08  5.93571993e+00  3.85730987e-15  1.46128768e+02 
 1.99526231e+08  5.93571304e+00  0.00000000e+00  1.46128370e+02 
 2.23872114e+08  5.93570410e+00  4.82163733e-15  1.46127869e+02 
 2.51188643e+08  5.93569301e+00  0.00000000e+00  1.46127238e+02 
 2.81838293e+08  5.93567916e+00  0.00000000e+00  1.46126444e+02 
 3.16227766e+08  5.93566161e+00  1.25362571e-14  1.46125444e+02 
 3.54813389e+08  5.93563930e+00  0.00000000e+00  1.46124185e+02 
 3.98107171e+08  5.93561140e+00  0.00000000e+00  1.46122600e+02 
 4.46683592e+08  5.93557638e+00  1.15719296e-14  1.46120605e+02 
 5.01187234e+08  5.93553226e+00  0.00000000e+00  1.46118093e+02 
 5.62341325e+08  5.93547649e+00  0.00000000e+00  1.46114931e+02 
 6.30957344e+08  5.93540743e+00  1.73578944e-14  1.46110951e+02 
 7.07945784e+08  5.93531874e+00  9.64327467e-16  1.46105940e+02 
 7.94328235e+08  5.93520785e+00  9.64327467e-15  1.46099632e+02 
 8.91250938e+08  5.93506864e+00  7.71461973e-15  1.46091692e+02 
 1.00000000e+09  5.93489326e+00  0.00000000e+00  1.46081697e+02 
 1.12201845e+09  5.93467160e+00  1.15719296e-14  1.46069117e+02 
 1.25892541e+09  5.93439070e+00  0.00000000e+00  1.46053281e+02 
 1.41253754e+09  5.93404473e+00  0.00000000e+00  1.46033351e+02 
 1.58489319e+09  5.93360416e+00  2.89298240e-15  1.46008268e+02 
 1.77827941e+09  5.93304211e+00  0.00000000e+00  1.45976702e+02 
 1.99526231e+09  5.93235473e+00  2.02508768e-14  1.45936983e+02 
 2.23872114e+09  5.93146332e+00  0.00000000e+00  1.45887010e+02 
 2.51188643e+09  5.93036000e+00  1.06076021e-14  1.45824146e+02 
 2.81838293e+09  5.92895914e+00  0.00000000e+00  1.45745083e+02 
 3.16227766e+09  5.92720936e+00  0.00000000e+00  1.45645670e+02 
 3.54813389e+09  5.92501549e+00  5.78596480e-15  1.45520708e+02 
 3.98107171e+09  5.92225559e+00  0.00000000e+00  1.45363696e+02 
 4.46683592e+09  5.91877360e+00  1.83222219e-14  1.45166510e+02 
 5.01187234e+09  5.91437020e+00  1.15719296e-14  1.44919028e+02 
 5.62341325e+09  5.90890569e+00  0.00000000e+00  1.44608663e+02 
 6.30957344e+09  5.90216333e+00  0.00000000e+00  1.44219822e+02 
 7.07945784e+09  5.89344753e+00  5.78596480e-15  1.43733263e+02 
 7.94328235e+09  5.88252722e+00  2.89298240e-15  1.43125371e+02 
 8.91250938e+09  5.86900077e+00  0.00000000e+00  1.42367352e+02 
 1.00000000e+10  5.85220377e+00  0.00000000e+00  1.41424404e+02 
 1.12201845e+10  5.83130809e+00  0.00000000e+00  1.40254917e+02 
 1.25892541e+10  5.80528882e+00  0.00000000e+00  1.38809839e+02 
 1.41253754e+10  5.77260972e+00  9.64327467e-16  1.37032393e+02 
 1.58489319e+10  5.73291068e+00  0.00000000e+00  1.34858420e+02 
 1.77827941e+10  5.68399868e+00  0.00000000e+00  1.32217710e+02 
 1.99526231e+10  5.62390575e+00  9.64327467e-15  1.29036766e+02 
