 frequency       nfr             nfminr          rnr            
 1.00000000e+08  6.04024393e+00  0.00000000e+00  1.50906589e+02 
 1.12201845e+08  6.04024149e+00  4.82163733e-15  1.50906448e+02 
 1.25892541e+08  6.04023833e+00  0.00000000e+00  1.50906270e+02 
 1.41253754e+08  6.04023439e+00  0.00000000e+00  1.50906046e+02 
 1.58489319e+08  6.04022945e+00  0.00000000e+00  1.50905765e+02 
 1.77827941e+08  6.04022317e+00  0.00000000e+00  1.50905410e+02 
 1.99526231e+08  6.04021533e+00  0.00000000e+00  1.50904964e+02 
 2.23872114e+08  6.04020547e+00  3.85730987e-15  1.50904402e+02 
 2.51188643e+08  6.04019306e+00  0.00000000e+00  1.50903695e+02 
 2.81838293e+08  6.04017739e+00  0.00000000e+00  1.50902804e+02 
 3.16227766e+08  6.04015754e+00  1.15719296e-14  1.50901683e+02 
 3.54813389e+08  6.04013280e+00  0.00000000e+00  1.50900272e+02 
 3.98107171e+08  6.04010160e+00  0.00000000e+00  1.50898495e+02 
 4.46683592e+08  6.04006242e+00  9.64327467e-16  1.50896259e+02 
 5.01187234e+08  6.04001243e+00  0.00000000e+00  1.50893443e+02 
 5.62341325e+08  6.03995002e+00  0.00000000e+00  1.50889898e+02 
 6.30957344e+08  6.03987261e+00  6.75029227e-15  1.50885436e+02 
 7.07945784e+08  6.03977344e+00  6.75029227e-15  1.50879820e+02 
 7.94328235e+08  6.03964938e+00  0.00000000e+00  1.50872749e+02 
 8.91250938e+08  6.03949136e+00  2.89298240e-15  1.50863848e+02 
 1.00000000e+09  6.03929490e+00  5.78596480e-15  1.50852644e+02 
 1.12201845e+09  6.03904680e+00  0.00000000e+00  1.50838542e+02 
 1.25892541e+09  6.03873271e+00  2.89298240e-15  1.50820792e+02 
 1.41253754e+09  6.03833785e+00  0.00000000e+00  1.50798452e+02 
 1.58489319e+09  6.03784404e+00  0.00000000e+00  1.50770337e+02 
 1.77827941e+09  6.03722433e+00  2.89298240e-15  1.50734958e+02 
 1.99526231e+09  6.03644415e+00  1.35005845e-14  1.50690441e+02 
 2.23872114e+09  6.03544777e+00  0.00000000e+00  1.50634435e+02 
 2.51188643e+09  6.03421272e+00  9.64327467e-16  1.50563987e+02 
 2.81838293e+09  6.03264660e+00  0.00000000e+00  1.50475392e+02 
 3.16227766e+09  6.03068949e+00  2.89298240e-15  1.50364006e+02 
 3.54813389e+09  6.02819946e+00  0.00000000e+00  1.50224012e+02 
 3.98107171e+09  6.02510903e+00  1.35005845e-14  1.50048142e+02 
 4.46683592e+09  6.02121336e+00  1.92865493e-15  1.49827318e+02 
 5.01187234e+09  6.01629246e+00  0.00000000e+00  1.49550241e+02 
 5.62341325e+09  6.01018082e+00  8.67894720e-15  1.49202874e+02 
 6.30957344e+09  6.00263025e+00  0.00000000e+00  1.48767854e+02 
 7.07945784e+09  5.99276226e+00  0.00000000e+00  1.48223789e+02 
 7.94328235e+09  5.98072957e+00  7.71461973e-15  1.47544485e+02 
 8.91250938e+09  5.96546227e+00  5.78596480e-15  1.46698094e+02 
 1.00000000e+10  5.94670869e+00  3.85730987e-15  1.45646260e+02 
 1.12201845e+10  5.92339905e+00  2.89298240e-15  1.44343335e+02 
 1.25892541e+10  5.89391064e+00  0.00000000e+00  1.42735827e+02 
 1.41253754e+10  5.85810990e+00  9.64327467e-16  1.40762301e+02 
 1.58489319e+10  5.81338429e+00  0.00000000e+00  1.38354051e+02 
 1.77827941e+10  5.75910093e+00  3.85730987e-15  1.35436943e+02 
 1.99526231e+10  5.69261212e+00  5.78596480e-15  1.31934910e+02 
