 frequency       nfr             nfminr          rnr            
 1.00000000e+08  1.41384440e+01  5.78596480e-15  1.24662442e+03 
 1.12201845e+08  1.41382572e+01  0.00000000e+00  1.24656846e+03 
 1.25892541e+08  1.41380219e+01  0.00000000e+00  1.24649802e+03 
 1.41253754e+08  1.41377257e+01  0.00000000e+00  1.24640934e+03 
 1.58489319e+08  1.41373529e+01  1.07040349e-13  1.24629773e+03 
 1.77827941e+08  1.41368835e+01  0.00000000e+00  1.24615724e+03 
 1.99526231e+08  1.41362928e+01  0.00000000e+00  1.24598043e+03 
 2.23872114e+08  1.41355491e+01  0.00000000e+00  1.24575790e+03 
 2.51188643e+08  1.41346133e+01  0.00000000e+00  1.24547787e+03 
 2.81838293e+08  1.41334353e+01  0.00000000e+00  1.24512551e+03 
 3.16227766e+08  1.41319527e+01  0.00000000e+00  1.24468219e+03 
 3.54813389e+08  1.41300874e+01  0.00000000e+00  1.24412455e+03 
 3.98107171e+08  1.41277401e+01  5.01450283e-14  1.24342322e+03 
 4.46683592e+08  1.41247866e+01  8.67894720e-14  1.24254142e+03 
 5.01187234e+08  1.41210717e+01  2.89298240e-15  1.24143308e+03 
 5.62341325e+08  1.41163998e+01  0.00000000e+00  1.24004058e+03 
 6.30957344e+08  1.41105277e+01  8.00391797e-14  1.23829195e+03 
 7.07945784e+08  1.41031437e+01  0.00000000e+00  1.23609756e+03 
 7.94328235e+08  1.40938698e+01  5.30380107e-14  1.23334602e+03 
 8.91250938e+08  1.40822262e+01  2.31438592e-14  1.22989941e+03 
 1.00000000e+09  1.40676137e+01  1.63935669e-14  1.22558767e+03 
 1.12201845e+09  1.40492935e+01  1.06076021e-14  1.22020232e+03 
 1.25892541e+09  1.40263479e+01  6.94315776e-14  1.21348948e+03 
 1.41253754e+09  1.39976495e+01  4.43590635e-14  1.20514282e+03 
 1.58489319e+09  1.39618127e+01  0.00000000e+00  1.19479686e+03 
 1.77827941e+09  1.39171447e+01  8.19678347e-14  1.18202196e+03 
 1.99526231e+09  1.38616284e+01  2.31438592e-14  1.16632258e+03 
 2.23872114e+09  1.37928102e+01  2.89298240e-15  1.14714147e+03 
 2.51188643e+09 -nan -nan  1.12387276e+03 
 2.81838293e+09  1.36033873e+01  0.00000000e+00  1.09588801e+03 
 3.16227766e+09  1.34757080e+01  3.76087712e-14  1.06257872e+03 
 3.54813389e+09  1.33206120e+01  0.00000000e+00  1.02341786e+03 
 3.98107171e+09  1.31336897e+01  0.00000000e+00  9.78039628e+02 
 4.46683592e+09  1.29104007e+01  1.92865493e-14  9.26331253e+02 
 5.01187234e+09  1.26463681e+01  0.00000000e+00  8.68523509e+02 
 5.62341325e+09  1.23378351e+01  4.43590635e-14  8.05259656e+02 
 6.30957344e+09  1.19816964e+01  0.00000000e+00  7.37619236e+02 
 7.07945784e+09  1.15761922e+01  2.60368416e-14  6.67077426e+02 
 7.94328235e+09  1.11213009e+01  0.00000000e+00  5.95393990e+02 
 8.91250938e+09  1.06186586e+01  2.12152043e-14  5.24445532e+02 
 1.00000000e+10  1.00717485e+01 -4.82163733e-16  4.56033121e+02 
 1.12201845e+10  9.48581174e+00  0.00000000e+00  3.91705922e+02 
 1.25892541e+10  8.86813595e+00  6.75029227e-15  3.32635871e+02 
 1.41253754e+10  8.22631003e+00  0.00000000e+00  2.79561530e+02 
 1.58489319e+10  7.56981719e+00  0.00000000e+00  2.32799122e+02 
 1.77827941e+10  6.90817920e+00  2.89298240e-15  1.92303610e+02 
 1.99526231e+10  6.25175043e+00  0.00000000e+00  1.57756428e+02 
