 frequency       nfr             nfminr          rnr            
 1.00000000e+08  8.55909489e+00  1.63935669e-14  3.08822173e+02 
 1.12201845e+08  8.55908097e+00  5.78596480e-15  3.08820976e+02 
 1.25892541e+08  8.55906342e+00  0.00000000e+00  3.08819468e+02 
 1.41253754e+08  8.55904136e+00  0.00000000e+00  3.08817569e+02 
 1.58489319e+08  8.55901356e+00  9.64327467e-16  3.08815180e+02 
 1.77827941e+08  8.55897852e+00  0.00000000e+00  3.08812171e+02 
 1.99526231e+08  8.55893448e+00  0.00000000e+00  3.08808384e+02 
 2.23872114e+08  8.55887909e+00  1.25362571e-14  3.08803616e+02 
 2.51188643e+08  8.55880919e+00  0.00000000e+00  3.08797614e+02 
 2.81838293e+08  8.55872137e+00  7.71461973e-15  3.08790058e+02 
 3.16227766e+08  8.55861072e+00  2.50725141e-14  3.08780547e+02 
 3.54813389e+08  8.55847150e+00  0.00000000e+00  3.08768573e+02 
 3.98107171e+08  8.55829624e+00  0.00000000e+00  3.08753501e+02 
 4.46683592e+08  8.55807580e+00  9.64327467e-16  3.08734527e+02 
 5.01187234e+08  8.55779767e+00  0.00000000e+00  3.08710645e+02 
 5.62341325e+08  8.55744824e+00  0.00000000e+00  3.08680584e+02 
 6.30957344e+08  8.55700890e+00  0.00000000e+00  3.08642747e+02 
 7.07945784e+08  8.55645424e+00  0.00000000e+00  3.08595128e+02 
 7.94328235e+08  8.55575716e+00  0.00000000e+00  3.08535199e+02 
 8.91250938e+08  8.55487812e+00  4.82163733e-15  3.08459786e+02 
 1.00000000e+09  8.55377484e+00  0.00000000e+00  3.08364899e+02 
 1.12201845e+09  8.55238299e+00  0.00000000e+00  3.08245526e+02 
 1.25892541e+09  8.55063374e+00  9.64327467e-16  3.08095376e+02 
 1.41253754e+09  8.54843038e+00  0.00000000e+00  3.07906556e+02 
 1.58489319e+09  8.54566307e+00  2.89298240e-15  3.07669175e+02 
 1.77827941e+09  8.54218586e+00  4.82163733e-15  3.07370850e+02 
 1.99526231e+09  8.53781507e+00  4.14660811e-14  3.06996102e+02 
 2.23872114e+09  8.53230755e+00  1.73578944e-14  3.06525621e+02 
 2.51188643e+09  8.52539646e+00  0.00000000e+00  3.05935366e+02 
 2.81838293e+09  8.51670765e+00  0.00000000e+00  3.05195503e+02 
 3.16227766e+09  8.50582134e+00  8.67894720e-15  3.04269144e+02 
 3.54813389e+09  8.49218359e+00  2.89298240e-15  3.03110893e+02 
 3.98107171e+09  8.47506237e+00  4.82163733e-15  3.01665221e+02 
 4.46683592e+09  8.45363813e+00  1.15719296e-14  2.99864718e+02 
 5.01187234e+09  8.42691348e+00  4.43590635e-14  2.97628352e+02 
 5.62341325e+09  8.39362152e+00  0.00000000e+00  2.94859923e+02 
 6.30957344e+09  8.35236291e+00  0.00000000e+00  2.91447062e+02 
 7.07945784e+09  8.30080489e+00  0.00000000e+00  2.87261248e+02 
 7.94328235e+09  8.23748900e+00  0.00000000e+00  2.82159547e+02 
 8.91250938e+09  8.15943803e+00  1.06076021e-14  2.75988916e+02 
 1.00000000e+10  8.06414878e+00  9.64327467e-16  2.68594034e+02 
 1.12201845e+10  7.94851375e+00  0.00000000e+00  2.59829516e+02 
 1.25892541e+10  7.80868969e+00  0.00000000e+00  2.49576868e+02 
 1.41253754e+10  7.64260221e+00  2.12152043e-14  2.37765599e+02 
 1.58489319e+10  7.44603404e+00  0.00000000e+00  2.24396321e+02 
 1.77827941e+10  7.21761618e+00 -9.64327467e-16  2.09561878e+02 
 1.99526231e+10  6.95421059e+00  0.00000000e+00  1.93461022e+02 
